"Month";"International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60";"U.S. Air Carrier Traffic Statistics - Available Seat Miles"
"1949-01";112;
"1949-02";118;
"1949-03";132;
"1949-04";129;
"1949-05";121;
"1949-06";135;
"1949-07";148;
"1949-08";148;
"1949-09";136;
"1949-10";119;
"1949-11";104;
"1949-12";118;
"1950-01";115;
"1950-02";126;
"1950-03";141;
"1950-04";135;
"1950-05";125;
"1950-06";149;
"1950-07";170;
"1950-08";170;
"1950-09";158;
"1950-10";133;
"1950-11";114;
"1950-12";140;
"1951-01";145;
"1951-02";150;
"1951-03";178;
"1951-04";163;
"1951-05";172;
"1951-06";178;
"1951-07";199;
"1951-08";199;
"1951-09";184;
"1951-10";162;
"1951-11";146;
"1951-12";166;
"1952-01";171;
"1952-02";180;
"1952-03";193;
"1952-04";181;
"1952-05";183;
"1952-06";218;
"1952-07";230;
"1952-08";242;
"1952-09";209;
"1952-10";191;
"1952-11";172;
"1952-12";194;
"1953-01";196;
"1953-02";196;
"1953-03";236;
"1953-04";235;
"1953-05";229;
"1953-06";243;
"1953-07";264;
"1953-08";272;
"1953-09";237;
"1953-10";211;
"1953-11";180;
"1953-12";201;
"1954-01";204;
"1954-02";188;
"1954-03";235;
"1954-04";227;
"1954-05";234;
"1954-06";264;
"1954-07";302;
"1954-08";293;
"1954-09";259;
"1954-10";229;
"1954-11";203;
"1954-12";229;
"1955-01";242;
"1955-02";233;
"1955-03";267;
"1955-04";269;
"1955-05";270;
"1955-06";315;
"1955-07";364;
"1955-08";347;
"1955-09";312;
"1955-10";274;
"1955-11";237;
"1955-12";278;
"1956-01";284;
"1956-02";277;
"1956-03";317;
"1956-04";313;
"1956-05";318;
"1956-06";374;
"1956-07";413;
"1956-08";405;
"1956-09";355;
"1956-10";306;
"1956-11";271;
"1956-12";306;
"1957-01";315;
"1957-02";301;
"1957-03";356;
"1957-04";348;
"1957-05";355;
"1957-06";422;
"1957-07";465;
"1957-08";467;
"1957-09";404;
"1957-10";347;
"1957-11";305;
"1957-12";336;
"1958-01";340;
"1958-02";318;
"1958-03";362;
"1958-04";348;
"1958-05";363;
"1958-06";435;
"1958-07";491;
"1958-08";505;
"1958-09";404;
"1958-10";359;
"1958-11";310;
"1958-12";337;
"1959-01";360;
"1959-02";342;
"1959-03";406;
"1959-04";396;
"1959-05";420;
"1959-06";472;
"1959-07";548;
"1959-08";559;
"1959-09";463;
"1959-10";407;
"1959-11";362;
"1959-12";405;
"1960-01";417;
"1960-02";391;
"1960-03";419;
"1960-04";461;
"1960-05";472;
"1960-06";535;
"1960-07";622;
"1960-08";606;
"1960-09";508;
"1960-10";461;
"1960-11";390;
"1960-12";432;
"1996-01";;18051501
"1996-02";;16885758
"1996-03";;18471917
"1996-04";;17864991
"1996-05";;19063789
"1996-06";;19667955
"1996-07";;21772113
"1996-08";;21996259
"1996-09";;19573265
"1996-10";;18980726
"1996-11";;17616048
"1996-12";;18578730
"1997-01";;18769098
"1997-02";;16760399
"1997-03";;19093654
"1997-04";;18584932
"1997-05";;19459043
"1997-06";;19945735
"1997-07";;21732412
"1997-08";;21958367
"1997-09";;20181092
"1997-10";;19916177
"1997-11";;18810789
"1997-12";;19565348
"1998-01";;20143961
"1998-02";;17954908
"1998-03";;19984220
"1998-04";;20003495
"1998-05";;20806495
"1998-06";;21015260
"1998-07";;22874841
"1998-08";;22619077
"1998-09";;18982125
"1998-10";;20602306
"1998-11";;19176297
"1998-12";;20038252
"1999-01";;20506351
"1999-02";;18068133
"1999-03";;20914264
"1999-04";;20144901
"1999-05";;20905226
"1999-06";;21547666
"1999-07";;23001671
"1999-08";;23166972
"1999-09";;21539241
"1999-10";;21599424
"1999-11";;19837655
"1999-12";;20490082
"2000-01";;20933628
"2000-02";;19604814
"2000-03";;21457741
"2000-04";;21659049
"2000-05";;22641341
"2000-06";;23130870
"2000-07";;24974350
"2000-08";;24420393
"2000-09";;22531908
"2000-10";;22374045
"2000-11";;21016444
"2000-12";;21704330
"2001-01";;22188838
"2001-02";;20264556
"2001-03";;22741851
"2001-04";;22871449
"2001-05";;23423897
"2001-06";;23277887
"2001-07";;24861466
"2001-08";;24332835
"2001-09";;18832503
"2001-10";;18442400
"2001-11";;17115621
"2001-12";;17929433
"2002-01";;18253568
"2002-02";;16516127
"2002-03";;18962637
"2002-04";;19052235
"2002-05";;20144541
"2002-06";;20514379
"2002-07";;21463433
"2002-08";;21483583
"2002-09";;19893968
"2002-10";;20207533
"2002-11";;19223857
"2002-12";;20111059
"2003-01";;20538398
"2003-02";;18250090
"2003-03";;20552677
"2003-04";;18118537
"2003-05";;17801325
"2003-06";;19155032
"2003-07";;21098648
"2003-08";;21401719
"2003-09";;19758350
"2003-10";;19665361
"2003-11";;19007874
"2003-12";;19988516
"2004-01";;20613279
"2004-02";;19656742
"2004-03";;21332592
"2004-04";;20812675
"2004-05";;21805176
"2004-06";;22588364
"2004-07";;24390418
"2004-08";;24391231
"2004-09";;21847934
"2004-10";;21940511
"2004-11";;20998349
"2004-12";;22711297
"2005-01";;23724905
"2005-02";;21337092
"2005-03";;24118702
"2005-04";;23288831
"2005-05";;24227224
"2005-06";;24639543
"2005-07";;26077296
"2005-08";;25856106
"2005-09";;23851738
"2005-10";;23214949
"2005-11";;21499373
"2005-12";;23333916
"2006-01";;23872131
"2006-02";;21440647
"2006-03";;24792922
"2006-04";;24276382
"2006-05";;25070620
"2006-06";;25812419
"2006-07";;27416382
"2006-08";;27241495
"2006-09";;24782042
"2006-10";;24629765
"2006-11";;22674150
"2006-12";;24490816
"2007-01";;25274425
"2007-02";;22562236
"2007-03";;25920564
"2007-04";;25343367
"2007-05";;26474501
"2007-06";;27251403
"2007-07";;28805701
"2007-08";;28751978
"2007-09";;26197095
"2007-10";;25726202
"2007-11";;24304986
"2007-12";;26387889
"2008-01";;26689168
"2008-02";;24685295
"2008-03";;27530132
"2008-04";;26768173
"2008-05";;28124195
"2008-06";;28462586
"2008-07";;30027189
"2008-08";;29836153
"2008-09";;25967569
"2008-10";;25764560
"2008-11";;24026287
"2008-12";;25438174
"2009-01";;25862888
"2009-02";;22914966
"2009-03";;25810451
"2009-04";;25614651
"2009-05";;26172639
"2009-06";;26986489
"2009-07";;28848527
"2009-08";;28523777
"2009-09";;24589284
"2009-10";;23809157
"2009-11";;22288907
"2009-12";;24016117
"2010-01";;24993169
"2010-02";;21744955
"2010-03";;25597428
"2010-04";;24309914
"2010-05";;26858873
"2010-06";;28153653
"2010-07";;30392118
"2010-08";;29684502
"2010-09";;25919088
"2010-10";;26384357
"2010-11";;24077040
"2010-12";;25740359
"2011-01";;26654525
"2011-02";;23868750
"2011-03";;27556326
"2011-04";;27151982
"2011-05";;27904562
"2011-06";;28927868
"2011-07";;31280935
"2011-08";;30036436
"2011-09";;26484228
"2011-10";;26438374
"2011-11";;23874838
"2011-12";;26233146
"2012-01";;26355696
"2012-02";;24719877
"2012-03";;27499742
"2012-04";;26838802
"2012-05";;28075418
"2012-06";;28823261
"2012-07";;30635118
"2012-08";;29923510

International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60; U.S. Air Carrier Traffic Statistics - Available Seat Miles

